taroporta	তারপরেতে	তারপর
brotherer	ব্যক্তর্থের	বরথেরের
bruneita	ব্রুইনা	বরুনেইতা
brutaler	ব্রুকলিনের	বরুতালের
burdente	বুর্গেনস্টকে	বুরদেন্তে
burtonte	বুর্গেনস্টকে	বুরতন্তে
buseste	বুসকেটসকে	বুসেসতে
busesta	বুসকেটসরা	বুসেসতা
buyerer	বাইরের	বুয়েরের
cakeser	কেকের	ছাকেসের
cakesta	কেকটা	ছাকেসতা
camerasta	ক্যামেরাটা	ছামেরাসতা
camerasgulo	ক্যামেরাগুলো	ছামেরাসগুলো
cameronta	স্যামেরনা	ছামেরন্তা
cargote	ছার্তক	ছাড়তে
cargota	ছার্তক	ছারগতা
carlote	ছার্তক	ছাড়তে
casesgulo	কেসগুলো	ছাসেসগুলো
certificateser	সার্টিফিকেটের	ছেরতিফিছাতেসের
chairser	চেয়ারের	চাইরসের
championte	চ্যাম্পিয়নতে	চাম্পিওন্তে
chancete	চান্সতে	চাঞ্চেতে
chancesta	চাঞ্চল্যতায়	চাঞ্চেসতা
chapterser	চ্যাপ্টারের	চাপ্তেরসের
chargeser	চার্জের	চারগেসের
charginger	চার্চিলের	চার্জিংয়ের
chargingte	চার্চটিতে	চারগিংতে
charminger	চার্চিলের	চার্জিংয়ের
charmingte	চার্চটিতে	চারমিংতে
charmingta	চার্মিলার	চারমিংতা
chelseaer	চেলসির	চেলসেআএর
chinesete	চিনিতে	চিনেসেতে
choosete	চুয়েটে	চুসেতে
chorusta	চরুস্থালী	চরুসতা
ciaogulo	ইচ্ছাগুলো	ছিআওগুল
coacheser	চাচির	ছআচেসের
codeser	কোডের	ছদেসের
codesgulo	কোডগুলো	ছদেসগুলো
cohengulo	কোনগুলো	ছহেঙুল
comeser	ছমির	ছমেসের
conditionser	কন্ডিশনার	ছন্দিতিওন্সের
condoste	ছন্দতত্ত্বে	ছন্দসতে
conferenceser	কনফারেন্সের	ছনফেরেঞ্চেসের
consoleser	কনসোলের	ছন্সলেসের
contentser	কনটেন্টের	ছন্তেন্তসের
courseser	কোর্সের	ছৌরসেসের
damagesta	দামাস্কাস	দামাগেসতা
dancete	ড্যান্সতে	দাঞ্চেতে
dancegulo	ড্যান্সগুলো	দাঞ্চেগুলো
daviser	অ্যাডভাইজার	দাভিসের
dawngulo	অন্যগুলো	দাওঙুল
debatee	রিবেট	দেবাতী
dianata	ডিয়ানা	দিআনাতা
disheser	ডিসির	দিশেসের
dividete	ডিভিডি	দিভিদেতে
donorer	দুরের	দনরের
dramaticer	দ্রামানির	দরামাতিছের
droveta	দ্রততার	দরভেতা
earneder	এআরওদের	এআরনেদের
easterer	ইস্টারের	এআসতেরের
elevente	ইলেভেন্থ	এলেভেন্তে
emerginger	এমেরিখের	এমেরগিঙের
